Ten,Nhommau,sup
0200,A-,-
0300,A-,-
0400,A-,-
0500,A-,-
0600,A-,-
0700,A-,-
0800,A-,-
0900,A-,-
1300,B-,-
1400,B-,-
1500,B-,-
1600,B-,-
1700,B-,-
1800,B-,-
1900,B-,-
2000,B-,-
2400,AB-,-
2500,AB-,-
2600,AB-,-
2700,AB-,-
2800,AB-,-
2900,AB-,-
3000,AB-,-
3100,AB-,-
4700,O+,+
4800,O+,+
4900,O+,+
5000,O+,+
5100,O+,+
5200,O+,+
5300,O+,+
5400,O+,+
5800,A+,+
5900,A+,+
6000,A+,+
6100,A+,+
6200,A+,+
6300,A+,+
6400,A+,+
6500,A+,+
6900,B+,+
7000,B+,+
7100,B+,+
7200,B+,+
7300,B+,+
7400,B+,+
7500,B+,+
7600,B+,+
8000,AB+,+
8100,AB+,+
8200,AB+,+
8300,AB+,+
8400,AB+,+
8500,AB+,+
8600,AB+,+
8700,AB+,+
9100,O-,-
9200,O-,-
9300,O-,-
9400,O-,-
9500,O-,-
9600,O-,-
9700,O-,-
9800,O-,-
