Ma,Timten,Danhmucmau,Uutien
E9727VAA,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],0
E9727VAB,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],0
E9727VAC,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],0
E9728VBC,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],0
E3072VAB,KHỐI TIỂU CẦU GẠN TÁCH TIA XẠ THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],0
E3102VE0,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],0
E3103VDB,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],0
E3071VB0,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],0
E3071VF0,KHỐI TIỂU CẦU GẠN TÁCH TIA XẠ THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],0
E3045VD0,KHỐI TIỂU CẦU GẠN TÁCH TIA XẠ THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],0
E3045VE0,KHỐI TIỂU CẦU GẠN TÁCH TIA XẠ THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],0
E3071VAC,KHỐI TIỂU CẦU GẠN TÁCH TIA XẠ THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],0
E3071VAA,KHỐI TIỂU CẦU GẠN TÁCH TIA XẠ THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],0
E3045VA0,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 120ML,Túi Tiểu Cầu [120ml],0
E3071VE0,KHỐI TIỂU CẦU GẠN TÁCH TIA XẠ THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],0
E3072VDB,KHỐI TIỂU CẦU GẠN TÁCH TIA XẠ THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],0
E3072VDA,KHỐI TIỂU CẦU GẠN TÁCH TIA XẠ THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],0
E3072VA0,KHỐI TIỂU CẦU GẠN TÁCH TIA XẠ THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],0
E8289VA0,KHỐI HỒNG CẦU TỪ 250ml MÁU TOÀN PHẦN,Khối hồng cầu từ 250 ml máu toàn phần,0
E7425V00,KHỐI HỒNG CẦU TỪ 450ML,Khối hồng cầu từ 450 ml máu toàn phần,0
E2940VDB,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],0
E3102VA0,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 120ML,Túi Tiểu Cầu [120ml],0
E2940VD0,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 120ML,Túi Tiểu Cầu [120ml],0
E4635VAB,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],0
E8289V00,KHỐI HỒNG CẦU TỪ 250ml MÁU TOÀN PHẦN,Khối hồng cầu từ 250 ml máu toàn phần,0
E3045VF0,KHỐI TIỂU CẦU GẠN TÁCH TIA XẠ THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],0
E8288V00,KHỐI HỒNG CẦU TỪ 200ml MÁU TOÀN PHẦN,Khối hồng cầu từ 200 ml máu toàn phần,0
E9727VD0,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],0
E9727VA0,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],0
E9729VD0,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],0
E9728VAA,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],0
E9728VC0,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],0
E9729VBC,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],0
E9729VBB,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],0
E2940VAA,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],1
E3102VF0,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],1
E2940VAB,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],2
E3103VA0,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],2
E2940VAC,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],3
E9728V00,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 250ml,Túi Tiểu Cầu [250ml],3
E3071V00,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 250ML,Túi Tiểu Cầu [250ml],4
E2940VB0,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],4
E3072V00,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 250ML,Túi Tiểu Cầu [250ml],5
E2940VC0,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],5
E2940VD0,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],6
E9729V00,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 250ml,Túi Tiểu Cầu [250ml],6
E2940VE0,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],7
E9727V00,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 250ml,Túi Tiểu Cầu [250ml],7
E2940VF0,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],8
E3102V00,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 250ml,Túi Tiểu Cầu [250ml],8
E3071VA0,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],9
E2940V00,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 250ml,Túi Tiểu Cầu [250ml],9
E3103V00,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 250ml,Túi Tiểu Cầu [250ml],10
E3071VD0,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],10
E3103VC0,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],11
E3072VB0,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],11
E3102VA0,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],12
E3103VD0,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],12
E3103VE0,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],13
E3102VAA,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],13
E3103VF0,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],14
E3102VAB,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],14
E3102VAC,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],15
E3102VB0,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],16
E3102VC0,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],17
E3103VC0,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 120ML,Túi Tiểu Cầu [120ml],18
E3102VD0,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],18
E6260V00,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 250ML,Túi Tiểu Cầu 8 DV,19
E9727V00,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 250ml,Túi Tiểu Cầu 8 DV,20
E3103VF0,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 120ML,Túi Tiểu Cầu [120ml],21
E3103VAA,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],22
E9728V00,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 250ml,Túi Tiểu Cầu 6 DV,22
E3103VAB,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],23
E3103VAC,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],24
E3103VB0,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],25
E3103VBA,KHỐI TIỂU CẦU GẠN TÁCH THỂ TÍCH 40ML,Túi Tiểu Cầu [40ml],26
